code,ticker,codesource,name,market,category,cur,country,continent,date,short_name,coverage,benchmark,performance,month_history,updated,industry,sector
STKVNSTK,STK,,CENTURY SYNTHETIC FIBER,HSX,MID,VND,VIETNAM,ASIA,2024-10-01,CENTURY SYNTHETIC FIBER,VIETNAM,VNI,2024-10-02,2024-10-02,2024-10-02 11:30:33,TOBACCO,CONSUMER GOODS
STKVNSTP,STP,,SONG DA INDUSTRY AND TRADE,HNX,SMALL,VND,VIETNAM,ASIA,2024-10-01,SONG DA INDUSTRY AND TRADE,VIETNAM,VNI,2024-10-02,2024-10-02,2024-10-02 11:30:33,INDUSTRIAL GOODS & SERVICES,INDUSTRIALS
STKVNSVC,SVC,,SAVICO,HSX,SMALL,VND,VIETNAM,ASIA,2024-10-01,SAVICO,VIETNAM,VNI,2024-10-02,2024-10-02,2024-10-02 11:30:33,AUTOMOBILES & PARTS,CONSUMER GOODS
STKVNSVD,SVD,,VU DANG INVESTMENT & TRADING,HSX,SMALL,VND,VIETNAM,ASIA,2024-10-01,VU DANG INVESTMENT & TRADING,VIETNAM,VNI,2024-10-02,2024-10-02,2024-10-02 11:30:33,TOBACCO,CONSUMER GOODS
STKVNSVI,SVI,,BIEN HOA PACKAGING,HSX,SMALL,VND,VIETNAM,ASIA,2024-10-01,BIEN HOA PACKAGING,VIETNAM,VNI,2024-10-02,2024-10-02,2024-10-02 11:30:33,BASIC RESOURCES,BASIC MATERIALS
STKVNSVN,SVN,,SOLAVINA CONSTRUCTION,HNX,SMALL,VND,VIETNAM,ASIA,2024-10-01,SOLAVINA CONSTRUCTION,VIETNAM,VNI,2024-10-02,2024-10-02,2024-10-02 11:30:33,CONSTRUCTION & MATERIALS,INDUSTRIALS
STKVNSVT,SVT,,SAI GON VIEN DONG TECHNOLOGY,HSX,SMALL,VND,VIETNAM,ASIA,2024-10-01,SAI GON VIEN DONG TECHNOLOGY,VIETNAM,VNI,2024-10-02,2024-10-02,2024-10-02 11:30:33,BASIC RESOURCES,BASIC MATERIALS
STKVNSZB,SZB,,SONADEZI LONG BINH SHARE HOLDING CO,HNX,SMALL,VND,VIETNAM,ASIA,2024-10-01,SONADEZI LONG BINH SHARE HOLDING CO,VIETNAM,VNI,2024-10-02,2024-10-02,2024-10-02 11:30:33,CONSTRUCTION & MATERIALS,INDUSTRIALS
STKVNSZC,SZC,,SONADEZI CHAU DUC SHAREHOLDING CO,HSX,MID,VND,VIETNAM,ASIA,2024-10-01,SONADEZI CHAU DUC SHAREHOLDING CO,VIETNAM,VNI,2024-10-02,2024-10-02,2024-10-02 11:30:33,REAL ESTATE,FINANCIALS
STKVNSZL,SZL,,SONADEZI LONG THANH,HSX,SMALL,VND,VIETNAM,ASIA,2024-10-01,SONADEZI LONG THANH,VIETNAM,VNI,2024-10-02,2024-10-02,2024-10-02 11:30:33,REAL ESTATE,FINANCIALS
STKVNTA9,TA9,,THANH AN NO 96,HNX,SMALL,VND,VIETNAM,ASIA,2024-10-01,THANH AN NO 96,VIETNAM,VNI,2024-10-02,2024-10-02,2024-10-02 11:30:33,CONSTRUCTION & MATERIALS,INDUSTRIALS
STKVNTAR,TAR,,TRUNG AN HI-TECH FARMING,UPC,SMALL,VND,VIETNAM,ASIA,2024-10-01,TRUNG AN HI-TECH FARMING,VIETNAM,VNI,2024-10-02,2024-10-02,2024-10-02 11:30:33,FOOD & BEVERAGE,CONSUMER GOODS
STKVNTBC,TBC,,THAC BA HYDROPOWER,HSX,SMALL,VND,VIETNAM,ASIA,2024-10-01,THAC BA HYDROPOWER,VIETNAM,VNI,2024-10-02,2024-10-02,2024-10-02 11:30:33,UTILITIES,UTILITIES
